"Εταιρεία H-ID"	"Εταιρεία Record Title"	"Ονομα εταιρείας"	Κλάδοι	"Τύπος υποδομών"	Αντικείμενο	Ιστοσελίδα	"Στοιχεία Επικοινωνίας"	"Εταιρείες ομίλου (Εταιρεία) H-ID"	"Εταιρείες ομίλου (Εταιρεία) Record Title"	Κερδοφορία	"Τίτλος είδησης"	"Url Είδησης"	"Σημειώσεις εταιρείες"
142	"Μασούτης
Σούπερ Μάρκετ - Τρόφιμα"	Μασούτης	"Σούπερ μάρκετ - Τρόφιμα"		"Σούπερ Μάρκετ - Τρόφιμα"								
143	"Telekom
Τηλεπικοινωνίες"	Telekom	Τηλεπικοινωνίες		"Τηλεπικοινωνιακός όμιλος"			105	"Οργανισμός Τηλεπικοινωνιών Ελλάδος (ΟΤΕ)
Τηλεπικοινωνίες"				
156	"Οργανισμός Λιμένος Λαυρίου (ΟΛΛ)
Υποδομές - Λιμάνια"	"Οργανισμός Λιμένος Λαυρίου (ΟΛΛ)"	Υποδομές	Λιμάνι	"Διαχείριση Λιμανιού"								
165	"ΙΝΤΕΡΚΑΤ (Όμιλος Παπαϊωάννου)
Υποδομές"	"ΙΝΤΕΡΚΑΤ (Όμιλος Παπαϊωάννου)"	Υποδομές		Υποδομές								
167	"Jet Plan Shipping (Μ. Ηλιόπουλος)
Ναυτιλία"	"Jet Plan Shipping (Μ. Ηλιόπουλος)"	Ναυτιλία		"Ναυτιλία, υποδομές κοκ"								
170	"Άκτωρ Παραχωρήσεις (Reggeborgh)
Υποδομές"	"Άκτωρ Παραχωρήσεις (Reggeborgh)"	Υποδομές|Κατασκευές										
177	"OTE
Τηλεπικοινωνίες"	OTE	"Νέες Τεχνολογίες|Τηλεπικοινωνίες"		Τηλεπικοινωνίες	https://www.cosmote.gr/static/otegroup/el/corp_homepage							
201	"Lidl Ελλάς
Σούπερ Μάρκετ - Τρόφιμα"	"Lidl Ελλάς"	"Σούπερ μάρκετ - Τρόφιμα"		"Σούπερ Μάρκετ - Τρόφιμα"								
203	"Metro
Σούπερ Μάρκετ - Τρόφιμα"	Metro	"Σούπερ μάρκετ - Τρόφιμα"		"Σούπερ Μάρκετ - Τρόφιμα"			204	"My Market
Σούπερ Μάρκετ - Τρόφιμα"	"Οι επενδύσεις του ομίλου METRO, που λειτουργεί τα σούπερ μάρκετ My Market και τα METRO Cash & Carry, ανέρχονται στην τετραετία 2023 – 2026 στα 280 εκατ. ευρώ. Για το 2024 «έτρεξε» ένα επενδυτικό πρόγραμμα ύψους 64 εκατ. ευρώ. Το δίκτυο της λιανικής αναμένεται να αυξηθεί τα επόμενα χρόνια κυρίως μέσω των καταστημάτων franchise υπό το σήμα «My market Local». Στόχος του ομίλου είναι μέχρι τα τέλη του 2025 να ανοίξουν περί τα 75-80 My market Local σε όλη την επικράτεια από τα 39 που είχαν ανοίξει στο τέλος του 2024. Ψηλά στην επενδυτική ατζέντα «φιγουράρει» και η δημιουργία αποθήκης στον Ασπρόπυργο, έκτασης περίπου 40.000 τ.μ. αλλά και η κατασκευή ενός κέντρου διανομής (hub) 10.500 τ.μ. στην Ορφέως, το οποίο θα υποστηρίξει τις υπηρεσίες διανομής των καταστημάτων χονδρικής METRO Cash & Carry σε Αττική και Νότιο Αιγαίο."			
204	"My Market
Σούπερ Μάρκετ - Τρόφιμα"	"My Market"	"Σούπερ μάρκετ - Τρόφιμα"										
210	AKTOR	AKTOR	Κατασκευές|Υποδομές		"Κατασκευές, υποδομές κα"	https://www.intrakat.gr/aktor	"Τ: + 30 2410 567200
F: + 30 2410 591461
E: info@intrakat.gr"	215	"Fracasso Hellas"				
213	Intrakat	Intrakat											
215	"Fracasso Hellas"	"Fracasso Hellas"	Υποδομές		"Δραστηριοποιείται σε συστήματα οδικής ασφάλειας. Προέκυψε από τη συνεργασία της Intrakat με την ιταλική Fracasso, εταιρεία με μεγάλη εμπειρία και τεχνογνωσία στον εξειδικευμένο αυτό τομέα."	www.fracassohellas.gr	"Fracasso Hellas S.A.
19ο χλμ  Παιανίας – Μαρκοπούλου
Παιανία Αττικής, ΤΚ 190 02
Τ: +30 210 667 4836
F: +30 210 667 4839
E: info@fracassohellas.gr
W: http://www.fracassohellas.gr"						
216	Fracasso	Fracasso	Υποδομές										
229	ΑΒΑΞ	ΑΒΑΞ	Κατασκευές|Υποδομές							"Χρηματιστηριακή αξία τον Γενάρη του 2025 αποτιμιόταν στα 262 εκατ. ευρώ"			
245	"Adessium Foundation"	"Adessium Foundation"	ΜΚΟ				"«Ολλανδική φιλανθρωπική οργάνωση που χρηματοδοτεί έργα στους τομείς της κοινωνίας, του περιβάλλοντος και της δημοσιογραφίας», από τον επιχειρηματία Gerard van Vliet...)"						
254	"Οργανισμός Λιμένος Θεσσαλονίκης (ΟΛΘ)"	"Οργανισμός Λιμένος Θεσσαλονίκης (ΟΛΘ)"	Υποδομές	Λιμάνι		https://www.thpa.gr/el/contact/	"Διεύθυνση 	Α’ Προβλήτα, Εντός Λιμένος, ΤΚ: 54625 Θεσσαλονίκη
ΑΦΜ 	099356700
Γ.Ε.ΜΗ 	58231004000
Τηλέφωνο 	2310 593 118
E-mail 	secretariat(at)thpa(dot)gr
***
ΟΛΘ Α.Ε. | Γραφεία Αθήνας

 
Διεύθυνση 	Πανεπιστημίου 10, 7ος όροφος, Σύνταγμα, ΤΚ: 10671
Τηλέφωνο 	210 362 8628
E-mail 	athensoffices(at)thpa(dot)gr
***
Διεύθυνση 	20 Aksakov Str., 1000, Sofia, Bulgaria
Τηλέφωνο 	+30 2310 593 308
E-mail 	sofia(at)thpa(dot)eu"						"Η σύνθεση του ΔΣ: https://www.thpa.gr/el/board-of-directors/"
268	"Louis Dreyfous"	"Louis Dreyfous"	"Αγροτική παραγωγή"										
278	"Belterra Holdings Ltd"	"Belterra Holdings Ltd"	Υποδομές	Λιμάνι	"67% του ΟΛΘ"		"Διεύθυνση	CYPRUS Pindou 4, Floor 4, Flat 405, 2409, Έγκωμη Λευκωσίας, Λευκωσία
Νομική Μορφή	Private Limited Company
NACE 2	6420 Δραστηριότητες εταιρειών χαρτοφυλακίου
Secretary	M.M.C.S. SECRETARY LIMITED
Τηλέφωνο εταιρείας	22817600
Email	info@cypcodirect.com"						"Belterra Holdings Ltd: Ελέγχει το 67% του μετοχικού κεφαλαίου του ΟΛΘ μέσω της South Europe Gateway Thessaloniki (SEGT). Η SEGT είναι κοινοπραξία στην οποία η Belterra κατέχει το 67% και η γαλλική εταιρεία CMA CGM, μέσω της θυγατρικής της Terminal Link, το υπόλοιπο 33%."
280	"South Europe Gateway Thessaloniki (SEGT)"	"South Europe Gateway Thessaloniki (SEGT)"	Υποδομές	Λιμάνι	"Η SEGT είναι κοινοπραξία στην οποία η Belterra κατέχει το 67% και η γαλλική εταιρεία CMA CGM, μέσω της θυγατρικής της Terminal Link, το υπόλοιπο 33%."								
282	"CMA CGM"	"CMA CGM"	Υποδομές	Λιμάνι		https://www.cma-cgm.com/							
286	"Terminal Link"	"Terminal Link"	Υποδομές	Λιμάνι	"Γαλλική, της ανήκει το 33% του ΟΛΘ"								
289	"CVC Capital Partners"	"CVC Capital Partners"	"Τράπεζες - Χρηματοπιστωτικό"		"Λουξεμβουργιανή εταιρεία συμμετοχών και επενδύσεων"	https://www.cvc.com/about/our-network/	"CVC Advisers Greece S.M.S.A.
8th Floor, 62 Kifissias Avenue, Maroussi Athens 15125 Greece
Telephone: +30 211 199 4990"			"έχει στη διαχείρισή της πάνω από 155 δις ευρώ ενεργητικού [1][2] και περίπου 157 δισεκατομμύρια ευρώ σε εξασφαλισμένες δεσμεύσεις (2024)"	"Χρ. Μεγάλου: Σε προχωρημένες συζητήσεις για την εξαγορά της Εθνικής Ασφαλιστικής η Πειραιώς"	https://www.capital.gr/epixeiriseis/3899689/xr-megalou-se-proxorimenes-suzitiseis-gia-tin-exagora-tis-ethnikis-asfalistikis-i-peiraios/	"Στην Ελλάδα η παρουσία του φαντ διευρύνθηκε με την εξαγορά του 10% της ΔΕΗ αλλά και του 90% της Vivartia το 2021. Τον Απρίλιο του 2022 ολοκληρώθηκε η πώληση του 90.01% των μετοχών της Εθνικής Ασφαλιστικής από την Εθνική Τράπεζα της Ελλάδας στον όμιλο CVC Capital Partners.[4][5] Συμμετέχει επίσης στον χώρο της υγείας με τη διαχείριση χαρτοφυλακίων διαφόρων ιδιωτικών κλινικών και διαγνωστικών κέντρων."
292	"Εθνική Ασφαλιστική"	"Εθνική Ασφαλιστική"	Ασφάλιση		Ασφάλειες								
295	"Ομιλος Vivartia"	"Ομιλος Vivartia"	"Σούπερ μάρκετ - Τρόφιμα"		"Ομιλος Τροφίμων"	https://www.vivartia.com/	"Διεθνής Αερολιμένας Αθηνών
«Ελευθέριος Βενιζέλος»
Κτίριο 14Β
Σπάτα 190 19
Αττική
+30 2169392900"	298|299|311|315|316	"Δέλτα Τρόφιμα ΑΕ|Δωδώνη|ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ|Μ. Αραμπατζής Α.Β.Ε.Ε.–Ελληνική Ζύμη|Ομιλος Goody’s-Everest"	"930 εκατομμύρια έσοδα (2023)"			"8,500 Εργαζόμενοι
16 εργοστάσια 
Εξαγωγές σε 50 χώρες

Είμαστε ο κορυφαίος όμιλος τροφίμων και υπηρεσιών εστίασης στην Ελλάδα.
Δραστηριοποιούμαστε για περισσότερες από 7 δεκαετίες στην ελληνική αγορά, με 8.500 εργαζομένους, περισσότερα από 25.000 σημεία πώλησης και πάνω από 1.500 κωδικούς προϊόντων για κάθε διατροφική ανάγκη και στιγμή της ημέρας.
Η Vivartia Συμμετοχών Α.Ε. είναι εταιρεία παραγωγής τροφίμων στην Ελλάδα. Η έδρα της βρίσκεται στα Σπάτα της Αττικής.[1]"
298	"Δέλτα Τρόφιμα ΑΕ"	"Δέλτα Τρόφιμα ΑΕ"	"Σούπερ μάρκετ - Τρόφιμα"		"Εταιρεία Τροφίμων"	www.delta.gr/	"ΔΕΛΤΑ ΤΡΟΦΙΜΑ Α.Ε.
23ο χλμ Ε.Ο. Αθηνών – Λαμίας, 14565, Αγ.Στέφανος Αττικής
Τηλεφωνικό Κέντρο 210-3495000"			"https://www.delta.gr/wp-content/uploads/2024/09/financial-statements-2023.pdf|α Κέρδη Προ φόρων Τόκων και Αποσβέσεων, εξαιρουμένων των μη επαναλαμβανόμενων γεγονότων και συμπεριλαμβανόμενης της επίδρασης από ΔΠΧΑ 16, παρουσίασαν αύξηση σε σχέση με την προηγούμενη Οικονομική Χρήση και ανήλθαν σε € 13,0 εκατ. (2022: € -2,3 εκατ.)"			"Η ΔΕΛΤΑ είναι εταιρεία τροφίμων που δραστηριοποιείται στον χώρο της καλής διατροφής. Για περισσότερα από 70 χρόνια, προσφέρει ποιοτικά και καινοτόμα προϊόντα, τα οποία καλύπτουν τις σύγχρονες διατροφικές ανάγκες των καταναλωτών στην Ελλάδα και ταυτόχρονα προάγουν διεθνώς το ευ ζην της ελληνικής μεσογειακής διατροφής. Διαθέτει ευρεία γκάμα προϊόντων, η οποία περιλαμβάνει γάλα, γιαούρτι, χυμούς, παγωμένο τσάι, φυτικά και τυροκομικά προϊόντα, έχοντας ηγετική παρουσία σε πολλούς από τους τομείς δραστηριοποίησής της. Η ΔΕΛΤΑ, με γνώμονα την προστασία του περιβάλλοντος, τη στήριξη της κοινωνίας και τη χρηστή διακυβέρνηση, δημιουργεί επιπρόσθετη αξία για όλα τα ενδιαφερόμενα μέρη της, συμβάλλοντας καθοριστικά στην οικονομία και ευημερία της χώρας."
299	Δωδώνη	Δωδώνη				https://dodoni.com	"https://dodoni.com/epikoinonia/


Γραφεία Iωαννίνων | Εργοστάσιο
Ταγματάρχη Κωστάκη 1
45500 Ελεούσα, Ιωάννινα
Τ +30 26510 89700 & 89702

Γραφεία Αθήνας
Διεθνής Αερολιμένας Αθηνών “Ελ. Βενιζέλος”
Κτίριο 14Β
19019 Σπάτα
Τ +30 210 9803230

Γραφεία Θεσσαλονίκης
Αγίου Γεωργίου 5
57001 Πυλαία, Θεσσαλονίκη
Τ +30 231 6001690

Εργοστάσιο Θήβας
2ο χλμ Θήβων – Χαλκίδας
32200 Θήβα
Τ +30 226 2027501

Γραφεία Κύπρου | Εργοστάσιο
Σπύρου Κυπριανού 24,
3η Βιομηχανική Περιοχή Αγίου Συλά
4149 Ύψωνας, Λεμεσός
Τ +357 25 27 7999

Αριθμός ΓΕ.Μ.Η: 030636029000"						
302	"ΕΥΡΩΤΡΟΦΕΣ ΜΟΝ. ΑΒΕΕ"	"ΕΥΡΩΤΡΟΦΕΣ ΜΟΝ. ΑΒΕΕ"	"Αγροτική παραγωγή"		"Βιομηχανία Σύνθετων Συμπυκνωμένων Ζωοτροφών"	https://www.vivartia.com/dairy-cheese/							"Εδώ και 4 δεκαετίες, η ΕΥΡΩΤΡΟΦΕΣ ΜΟΝ. ΑΒΕΕ έχει θέσει ως πρωταρχικό μέλημα την ποιοτική και άμεση εξυπηρέτηση του δικτύου των συνεργαζόμενων παραγωγών γάλακτος. Στρατηγικός στόχος της εταιρείας είναι η ικανοποίηση των αναγκών και απαιτήσεων των πελατών και συνεργατών της, μέσα από την προσφορά προϊόντων, υψηλής διατροφικής αξίας για τα παραγωγικά ζώα, παρασκευασμένων με αυστηρές προδιαγραφές.

Παράλληλα, στοχεύει στη συνεχή εξέλιξη των προϊόντων της με έμφαση στην ευημερία των ζώων και τη συστηματική στήριξη των συνεργαζόμενων κτηνοτρόφων. Η «ΕΥΡΩΤΡΟΦΕΣ» αποτελεί βασικό προμηθευτή μειγμάτων ζωοτροφών για το δίκτυο προμηθευτών γάλακτος της ΔΕΛΤΑ, ενώ παράλληλα απευθύνεται και σε άλλους παραγωγούς/κτηνοτρόφους, οι οποίοι επικεντρώνονται στην ασφάλεια, ποιότητα και υψηλή διατροφική αξία των ζωοτροφών που προσφέρουν στο ζωϊκό τους κεφάλαιο."
304	"ΔΑΝΙΗΛ Σ. ΓΚΑΤΕΝΙΟ & ΥΙΟΣ Α.Ε."	"ΔΑΝΙΗΛ Σ. ΓΚΑΤΕΝΙΟ & ΥΙΟΣ Α.Ε."	"Σούπερ μάρκετ - Τρόφιμα"		"Γάλα και κακάο"								"Η ιστορία της εταιρείας ΔΑΝΙΗΛ Σ. ΓΚΑΤΕΝΙΟ & ΥΙΟΣ Α.Ε. ξεκινά πριν από ένα σχεδόν αιώνα στη Θεσσαλονίκη με αρχική βασική δραστηριότητα την εμπορία ζάχαρης & καφέ. Μετά το Β’ Παγκόσμιο Πόλεμο, η εταιρεία μεταφέρεται στην Αθήνα, όπου και δραστηριοποιείται πλέον στους τομείς του γάλακτος και του κακάο με τα προϊόντα της να απευθύνονται στη βιομηχανική αγορά. Καθώς τα χρόνια περνούν, η ΔΑΝΙΗΛ Σ. ΓΚΑΤΕΝΙΟ & ΥΙΟΣ Α.Ε. συνεχίζει να μεγαλώνει και να αναπτύσσεται, προσθέτοντας και καταναλωτικά προϊόντα, όπως το γάλα εβαπορέ, το γάλα σε σκόνη (Regilait) και άλλα ενώ στη συνέχεια εισέρχεται και στην αγορά των τυροκομικών, εισάγοντας Regato από τη Βόρειο Ιρλανδία και μια μεγάλη ποικιλία τυριών από τις χώρες της Δυτικής Ευρώπης και κυρίως τη Γερμανία. Μετά το 1980 και εκμεταλλευόμενη την ταχύτατη ανάπτυξη του εμπορίου λιανικής, η ΔΑΝΙΗΛ Σ. ΓΚΑΤΕΝΙΟ & ΥΙΟΣ Α.Ε. αναλαμβάνει την ανάπτυξη και εμπορία προϊόντων ιδιωτικής ετικέτας. Σήμερα, η εταιρεία συνεχίζει να εισάγει και να εμπορεύεται γαλακτοκομικά και τυροκομικά προϊόντα, να συνεργάζεται με όλες σχεδόν τις βιομηχανίες του κλάδου, να δραστηριοποιείται στο λιανικό εμπόριο, ενώ παράλληλα επεκτείνεται στις γειτονικές βαλκανικές χώρες."
